CODE,BOROUGH,YEAR,AGE,% Healthy,% Unhealthy,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Income Deprivation,Employment Deprivation,Crime Deprivation
E09000019,Islington,2022,Year 6,60,39.7,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.28,2.05,1.34
E09000020,Kensington and Chelsea,2022,Year 6,62.6,36.5,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,5.92,5.37,2.43
E09000021,Kingston upon Thames,2022,Year 6,69.1,31,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.06,7.72,5.61
E09000022,Lambeth,2022,Year 6,60,40,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.50,1.28,1.65
E09000023,Lewisham,2022,Year 6,57.5,42.7,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.60,1.58,3.04
E09000024,Merton,2022,Year 6,61.8,37.9,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.53,5.29,5.05
E09000025,Newham,2022,Year 6,51.8,48.3,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.73,1.49,2.15
E09000026,Redbridge,2022,Year 6,55.8,44.3,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.82,3.41,3.35
E09000027,Richmond upon Thames,2022,Year 6,74.6,25.4,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,8.69,7.55,5.50
E09000028,Southwark,2022,Year 6,57.2,42.8,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.41,1.41,1.45
E09000029,Sutton,2022,Year 6,66.7,33.2,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,5.73,5.33,5.61
E09000030,Tower Hamlets,2022,Year 6,54.6,45.3,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.45,0.98
E09000031,Waltham Forest,2022,Year 6,57.2,43,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,2.23,2.60,3.82
E09000032,Wandsworth,2022,Year 6,63.6,36.4,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.16,3.07,4.24
E09000033,Westminster,2022,Year 6,55.8,43.6,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.54,3.03,2.85
E09000002,Barking and Dagenham,2023,Year 6,53.97,46.03,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.48,3.11,1.54
E09000003,Barnet,2023,Year 6,63.57,36.43,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.18,2.43,4.69
E09000004,Bexley,2023,Year 6,61.41,38.75,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.61,4.18,4.80
E09000005,Brent,2023,Year 6,57.62,42.38,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.31,1.79,1.90
E09000006,Bromley,2023,Year 6,66.43,33.57,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.98,3.50,3.38
E09000007,Camden,2023,Year 6,61.63,38.37,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.06,2.81,2.01
E09000008,Croydon,2023,Year 6,59.39,40.49,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,1.26,1.36,3.41
E09000009,Ealing,2023,Year 6,61.07,38.93,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.65,1.83,2.76
E09000010,Enfield,2023,Year 6,57.01,42.86,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.83,1.71,4.10
E09000011,Greenwich,2023,Year 6,57.63,42.37,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.09,2.17,2.54
E09000012,Hackney1,2023,Year 6,56.79,43.21,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.12,1.32,0.84
E09000013,Hammersmith and Fulham,2023,Year 6,62.44,37.56,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.56,3.92,3.07
